IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
3417,5007,Caninos:,60 a 77,1
3418,5008,Caninos:,"19,5 a 24,5",1
3419,5009,Caninos:,32 a 36,1
3420,5010,Caninos:,6.000 a 17.000,1
3421,5011,,0 - 1,1
3423,5013,Valores de referencia:,2 - 10,1
3424,5014,Valores de referencia:,0 - 1,1
3425,5015,Valores de referencia:,12 - 30,1
3426,5016,Valores de referencia:,3 - 10,1
3427,5017,,,0
3428,5004,Felinos:,"5,0 a 10,0 mill",1
3429,5004,Equinos:,"6,8 a 12,9 mill",1
3430,5005,Felinos:,24 a 45,1
3431,5005,Equinos:,32 a 53,1
3432,5006,Felinos:,8 a 15,1
3433,5006,Equinos:,11 a 19,1
3434,5010,Felinos:,5.000 a 19.500,1
3435,5010,Equinos:,5.400 a 14.300,1
3436,5007,Felinos:,39 a 55,1
3437,5007,Equinos:,37 a 58,1
3438,5008,Felinos:,,1
3439,5008,Equinos:,,1
3440,5009,Felinos:,31 a 35,1
3441,5009,Equinos:,31 a 37,1
3442,5030,Valor normal:,10 - 100,1
3443,5031,Valor de referencia:,Hasta 28,1
3444,5034,Valor normal:,"3,30 a 19,40",1
3445,5035,Valor normal:,"5,71 a 26,3",1
3446,5036,Valor normal:,"0,8 a 2,2",1
3447,5037,Negativo:,"Menor de 6,0",1
3448,5037,Positivo:,"Mayor o igual de 6,0",1
3449,5038,Límite de detección:,"0,10",1
3450,5039,Límite de detección:,"0,10 - 4,98",1
3451,5044,Valor de referencia:,Hasta 75,1
3452,5045,Hombre adulto,"De 0,9 a 9,6",1
3453,5045,Mujer adulta,"De 1,0 a 10,3",1
3454,5046,Valores de referencia:,"0,5 a 1,02",1
3455,5048,Negativo:,Menor a  6,1
3456,5027,Negativo:,"Menor a 6,0",1
3457,5049,Mujer adulta:,"0,22 a 4,64",1
3458,5049,Hombre adulto:,"1,53 a 14,82",1
3459,5050,Valor de referencia:,"Hasta 20,0",1
3460,5051,Normal:,"Menor a 1,35",1
3461,5052,Mujeres premenopausicas:,Hasta 70,1
3462,5052,Mujeres post menopausicas:,Hasta 140,1
3463,3901,,Mayor de 11 años: 60-120,1
3464,5069,Valor de referencia:,60 a 85%,1
3465,5070,Clase O,Ausencia IgE específica,1
3466,5071,Clase 0,Ausencia de IgE específica,1
3467,5072,Clase 0:,Ausente o No detectable,1
3468,5073,Valor de referencia:,"12,9 - 15,3",1
3469,5074,Valor de referencia:,de 72 a 100,1
3470,5075,Valor de referencia:,De 25 a 41,1
3471,5076,Valor de referencia:,De 150.000 a 400.000,1
3472,5077,Valor de referencia:,"de 1,00 a 1,20",1
3473,5100,Valores de referencia:,70 a 120,1
3474,5101,Valor de referencia:,"0,90 a 1,20",1
3475,5102,Valores de referencia:,Hasta 21,1
3476,5103,Valor de referencia:,28 a 40,1
3478,5105,Valor de referencia:,28 a 40,1
3480,5107,Valor de referencia:,30 - 46,1
3484,5111,Valor de referencia:,29 - 33,1
3485,5112,Valor de referencia:,29 - 33,1
3486,5113,Valor de referencia:,29 - 33,1
3487,5114,Valor de referencia:,"0 - 1,12",1
3488,5117,Valor de referencia:,Menor a 200,1
3491,5118,Hombres:,Mayor o igual a 40,1
3492,5118,Mujeres:,Mayor o igual a 50,1
3498,5121,Valor de referencia:,Menor a 150,1
3499,5119,Según Riesgo de ECV:,Metas del paciente:,0
3500,5119,Bajo:,Menor a 116,1
3501,5119,Moderado:,Menor a 100,1
3502,5119,Alto:,Menor a 70,1
3503,5119,Muy Alto:,Menor a 55,1
3504,5122,Según Riesgo de ECV:,Metas del paciente:,0
3505,5122,Moderado:,Menor a 130,1
3506,5122,Alto:,de 85 a 130,1
3507,5122,Muy Alto:,Menor a 85,1
3508,5119,Formula utilizada,Sampson,0
3509,5122,Estimacion por calculo.,,0
3510,5123,Valor de referencia:,Hasta 200,1
3513,5124,Hombres:,de 30 a 70,1
3514,5124,Mujeres:,de 35 a 95,1
3520,5127,Valor de referencia:,Menor a 150,1
3521,5128,Meta según riesgo de ECV,,0
3522,5128,Moderado:,Menor a 130,1
3523,5128,Alto:,de 85 a 130,1
3524,5128,Muy alto:,Menor a 85,1
3525,5125,Meta según riesgo de ECV,,0
3526,5125,Bajo:,Menor a 116,1
3527,5125,Moderado:,Menor a 100,1
3528,5125,Alto:,Menor a 70,1
3529,5125,Muy alto:,Menor a 55,1
3530,4965,Todas las edades:,Menor a 300,1
3531,4965,Insuciciencia cardiaca problable,,0
3532,4965,22 a 50 años:m,Mayor o igual a 450,1
3533,4965,50a 75 años:,Mayor o igual a 900,1
3534,4965,Mayo 75 años:,Mayos o igual a 1800,1
3535,5130,Valores de referencia:,135  a  145,1
3536,5131,Valores de referencia:,"3,5  a  4,5",1
3537,5132,Valor de referencia:,98 a 106,1
3538,3056,Riesgo Prediabetes:,De 101 a 125,1
3539,3056,Riesgo Diabetes:,Mayor a 126,1
3540,1702,Riesgo Diabetes:,Mayor a 200,1
3541,2053,Riesgo Prediabetes:,de 101 a 125,1
3542,2053,Riesgo Diabetes:,Menor a 126,1
3543,2057,Riesgo Prediabetes:,De 141 a 199,1
3544,2057,Riesgo Diabetes:,Menor a 200,1
3545,3990,Riesgo Prediabetes:,"De 5,7 a 6,4",1
3546,3990,Riesgo Diabetes:,"Mayor a 6,5",1
3547,5133,Normal:,Menor a 30,1
3548,5133,Microalbuminuria:,De 30 a 300,1
3549,5133,Proteinuria:,Mayor a 300,1
3550,5141,Valores de referencia:,"82,5 a 95,0",1
3551,5142,Valores de referencia:,"27,0 a 32,0",1
3552,5143,Valores de referencia:,"32,0 a 36,0",1
3553,5144,Adultos:,4.500 a 11.000,1
3554,5159,Valores de referencia:,150.000 a 400.000,1
3555,5044,Valores intermedios:,75 a 125,1
3556,5044,Valores Elevados:,> 125,1
3557,2471,,,0
3561,5162,Hiperaldosteronismo Primario:,,0
3562,5162,Alta sospecha:,> 36,1
3563,5162,Baja sospecha:,< 36,1
3564,5163,Adultos:,"De 4,0 a 5,6",1
3565,5166,> 1 año:,"46,00 a 70,00",0
3566,5167,Valor de referencia:,"Menor a 16,3",1
3567,2851,,,0
3568,2851,Riesgo de ECV:,Metas:,0
3569,2851,Moderado:,< 100,1
3570,2851,Alto:,< 80,1
3571,2851,Muy Alto:,< 65,1
3572,5169,Valor de referencia:,0 - 50,1
3573,5170,Negativo:,Menor a 16,1
3574,5170,Indeterminado:," 16-24",1
3575,5170,Positivo:,Mayor a 24,1
3576,5171,Negativo:,Menor a 16,1
3577,5171,Indeterminado:,16-24,1
3578,5171,Positivo:,Mayor a 24,1
3579,5172,BEI:,Hasta 25,1
3580,5172,Limite de cuantificacion:,"1,0",1
3581,5173,BEI;,"1,5",1
3582,5173,Limite de cuantificacion:,"0,1",1
3583,5174,BEI:,Hasta 400,1
3584,5174,,suma de los ácidos mandélico y fenilglioxílico,0
3585,5174,Limite de cuantificacion:,50 mg/L,0
3586,5180,CLASE 0:,Ausencia,1
3587,5181,CLASE 0:,Ausencia,1
3588,5182,CLASE 0:,Ausencia,1
3589,5183,CLASE 0:,Ausencia,1
3590,5184,CLASE 0:,Ausencia,1
3591,5185,IC: Insuficiencia Cardiaca.,,0
3592,5185,IC descartada:,< 300,1
3593,5185,IC posible:,,0
3594,5185,< 50 años:,> 450,1
3595,5185,50-75 años:,> 900,1
3596,5185,> 75 años:,> 1.800,1
3597,5185,IC muy probable:,> 10.000,1
3598,5186,Valor de referencia:,Menor o igual a 20,1
3599,5188,Negativo:,"Hasta 13,5",1
3600,5188,Indeterminado:,"13,5 a 16,5",1
3601,5188,Positivo:,"Mayor o igual de 16,5",1
3602,5189,Recien Nacidos:,125 a 300,1
3603,5189,Adultos:,200 a 400,1
3604,5190,No Reactivo:,"Menor a 0,8",1
3605,5190,Indeterminado:,"de 0,8 a 1,2",1
3606,5190,Reactivo:,"Mayor o igual a 1,2",1
3607,5192,Valores de referencia:,"7,0 - 20,5",1
