IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
888,736,1,4,0,0
889,737,1,4,0,0
890,738,1,1,0,0
891,739,1,51,0,0
892,739,2,51,0,0
893,739,3,51,0,0
894,740,1,4,0,0
895,740,2,4,0,0
896,740,3,4,0,0
897,741,1,43,0,0
898,742,1,46,0,0
899,743,1,4,0,0
900,744,1,4,0,0
901,745,1,4,0,0
902,746,1,43,0,0
903,747,1,4,0,0
904,748,1,4,0,0
905,749,1,4,0,0
906,750,1,7,0,0
907,751,1,1,0,0
908,752,1,4,0,0
909,753,1,9,0,0
910,753,2,9,0,0
911,753,3,9,0,0
912,754,1,4,0,0
913,754,2,4,0,0
914,754,3,4,0,0
915,755,1,4,0,0
916,755,2,4,0,0
917,755,3,4,0,0
918,756,1,7,0,0
919,756,2,7,0,0
920,756,3,7,0,0
921,757,1,43,0,0
922,758,1,43,0,0
923,759,1,7,0,0
924,760,1,4,0,0
925,761,1,4,0,0
926,762,1,1,0,0
927,763,1,4,0,0
928,763,2,4,0,0
929,763,3,4,0,0
930,764,1,4,0,0
931,764,2,4,0,0
932,764,3,4,0,0
933,765,1,4,0,0
934,766,1,4,0,0
935,767,1,25,0,0
936,768,1,4,0,0
937,769,1,4,0,0
938,770,1,4,0,0
939,771,1,4,0,0
940,771,2,4,0,0
941,771,3,4,0,0
942,772,1,4,0,0
943,773,1,4,0,0
944,774,1,4,0,0
945,775,1,1,0,0
946,776,1,4,0,0
947,777,1,4,0,0
948,778,1,4,0,0
949,778,2,4,0,0
950,778,3,4,0,0
951,779,1,4,0,0
952,780,1,4,0,0
953,781,1,7,0,0
954,781,2,7,0,0
955,781,3,7,0,0
956,782,1,42,0,0
957,782,2,42,0,0
958,782,3,42,0,0
959,783,1,2,0,0
960,783,2,2,0,0
961,783,3,2,0,0
962,784,1,4,0,0
963,785,1,17,0,0
964,786,1,9,0,0
965,787,1,4,0,0
966,787,2,4,0,0
967,787,3,4,0,0
968,788,1,4,0,0
969,788,2,4,0,0
970,788,3,4,0,0
971,789,1,4,0,0
972,789,2,4,0,0
973,789,3,4,0,0
974,790,1,4,0,0
975,792,1,4,0,0
976,793,1,43,0,0
977,794,1,4,0,0
978,794,2,4,0,0
979,794,3,4,0,0
980,795,1,4,0,0
981,795,2,4,0,0
982,795,3,4,0,0
983,796,1,7,0,0
984,796,2,7,0,0
985,796,3,7,0,0
986,797,1,4,0,0
987,798,1,4,0,0
988,799,1,2,0,0
989,800,1,4,0,0
990,801,1,52,0,0
991,802,1,4,0,0
992,802,2,4,0,0
993,802,3,4,0,0
994,803,1,7,0,0
995,803,2,7,0,0
996,803,3,7,0,0
997,804,1,4,0,0
998,804,2,4,0,0
999,804,3,4,0,0
1000,805,1,4,0,0
1001,806,1,4,0,0
1002,807,1,7,0,0
1003,808,1,4,0,0
1004,809,1,4,0,0
1005,810,1,4,0,0
1006,811,1,4,0,0
1007,811,2,4,0,0
1008,811,3,4,0,0
1009,812,1,4,0,0
1010,812,2,4,0,0
1011,812,3,4,0,0
1012,813,1,41,0,0
1013,813,2,41,0,0
1014,813,3,41,0,0
1015,814,1,7,0,0
1016,815,1,4,0,0
1017,816,1,4,0,0
1018,817,1,50,0,0
1019,818,1,4,0,0
1020,819,1,42,0,0
1021,820,1,4,0,0
1022,821,1,9,0,0
1023,822,1,51,0,0
1024,823,1,4,0,0
1025,824,1,4,0,0
1026,825,1,4,0,0
1027,826,1,4,0,0
1028,827,1,4,0,0
1029,827,2,4,0,0
1030,827,3,4,0,0
1031,828,1,4,0,0
1032,828,2,4,0,0
1033,828,3,4,0,0
1034,829,1,4,0,0
1035,829,2,4,0,0
1036,829,3,4,0,0
1040,833,1,4,0,0
1041,834,1,4,0,0
1042,835,1,4,0,0
1043,836,1,4,0,0
1044,837,1,4,0,0
1045,837,2,4,0,0
1046,837,3,4,0,0
1047,838,1,4,0,0
1048,838,2,4,0,0
1049,838,3,4,0,0
1050,839,1,4,0,0
1051,839,2,4,0,0
1052,839,3,4,0,0
1053,840,1,1,0,0
1054,841,1,4,0,0
1055,842,1,4,0,0
1056,843,1,4,0,0
1057,844,1,4,0,0
1058,845,1,4,0,0
1059,846,1,46,0,0
1060,846,2,46,0,0
1061,846,3,46,0,0
1062,847,1,9,0,0
1063,847,2,9,0,0
1064,847,3,9,0,0
1065,848,1,4,0,0
1066,848,2,4,0,0
1067,848,3,4,0,0
1068,849,1,4,0,0
1069,849,2,4,0,0
